timestamp,odos_time,odo_fl,odo_fr,odo_bl,odo_br,odo_s_fl,odo_s_fr,odo_s_bl,odo_s_br,odos_last_time,last_odo_fl,last_odo_fr,last_odo_bl,last_odo_br,ori_time,ori_fl,ori_fr,ori_bl,ori_br,ori_s_fl,ori_s_fr,ori_s_bl,ori_s_br,last_ori_time,last_ori_fl,last_ori_fr,last_ori_bl,last_ori_br,radar_time,radar_0,radar_45,radar_90,radar_135,radar_180,radar_225,radar_270,radar_315,radar_s_0,radar_s_45,radar_s_90,radar_s_135,radar_s_180,radar_s_225,radar_s_270,radar_s_315,last_radar_time,last_radar_0,last_radar_45,last_radar_90,last_radar_135,last_radar_180,last_radar_225,last_radar_270,last_radar_315,heading_time,heading,last_heading_time,last_heading,cmd_time,cmd_speed,cmd_angle,cmd_dist,selection
1552045225.7883487,1552045183.140519,30776,41360,41718,64938,0,64,64,0,1552045182.947709,30776,41360,41718,64938,1552045183.316713,108,134,131,158,32,32,48,32,1552045183.28428,108,134,131,158,1552045221.5337505,1022,310,220,306,746,1076,360,518,0,0,0,0,0,0,0,0,1552045221.4782586,1029,308,218,311,742,1070,363,513,1552045221.4790244,345,1552045221.0,345,0.0,0,0,0,Corridor          
1552045225.8896515,1552045183.335813,30777,41360,41718,64938,0,64,64,64,1552045183.140519,30776,41360,41718,64938,1552045183.39343,108,134,131,158,32,32,48,32,1552045183.358237,108,134,131,158,1552045221.5337505,1022,310,220,306,746,1076,360,518,0,0,0,0,0,0,0,0,1552045221.4782586,1029,308,218,311,742,1070,363,513,1552045221.4790244,345,1552045221.0,345,0.0,0,0,0,Corridor          
1552045225.9880757,1552045183.335813,30777,41360,41718,64938,0,64,64,64,1552045183.140519,30776,41360,41718,64938,1552045183.432405,108,134,131,158,32,32,48,32,1552045183.39343,108,134,131,158,1552045225.9625888,1018,303,224,311,745,1077,363,515,0,0,0,0,0,0,0,0,1552045225.8860438,1026,306,222,318,744,1065,361,509,1552045225.94572,345,1552045221.0,345,1552045225.8868268,100,0,32000,Corridor          
1552045226.0882323,1552045183.53173,30777,41360,41719,64938,64,64,0,64,1552045183.335813,30777,41360,41718,64938,1552045183.525351,108,134,131,158,32,32,48,32,1552045183.432405,108,134,131,158,1552045226.0793557,1032,312,218,314,742,1057,364,509,0,0,0,0,0,0,0,0,1552045226.0250206,1017,306,223,306,747,1077,363,514,1552045226.048777,345,1552045226.0,345,1552045225.9858477,100,0,-5499,Corridor          
1552045226.1872272,1552045183.716361,30760,41360,41719,64845,0,64,64,0,1552045183.53173,30777,41360,41719,64938,1552045183.665148,138,166,158,182,32,32,32,32,1552045183.618257,126,155,147,176,1552045226.1435084,1015,316,219,302,746,1060,361,504,0,0,0,0,0,0,0,0,1552045226.0793557,1032,312,218,314,742,1057,364,509,1552045226.1529992,344,1552045226.0,344,1552045226.0865655,100,0,32000,Corridor          
1552045226.2917142,1552045183.716361,30760,41360,41719,64845,0,64,64,0,1552045183.53173,30777,41360,41719,64938,1552045183.665148,138,166,158,182,32,32,32,32,1552045183.618257,126,155,147,176,1552045226.2584393,1017,330,223,292,752,1037,358,492,0,0,0,0,0,0,0,0,1552045226.2018213,1021,322,222,306,749,1037,361,502,1552045226.2582867,343,1552045226.0,343,1552045226.1859326,100,0,9791,Corridor          
1552045226.3873012,1552045183.901731,30760,41084,41719,64577,64,0,128,0,1552045183.716361,30760,41360,41719,64845,1552045183.853225,183,185,183,178,32,32,32,32,1552045183.665148,138,166,158,182,1552045226.3772316,1022,333,224,304,763,1023,361,482,0,0,0,0,0,0,0,0,1552045226.3223825,1012,336,220,297,754,1028,360,486,1552045226.3605103,343,1552045226.0,343,1552045226.286122,100,0,3130,Corridor          
1552045226.4883065,1552045183.901731,30760,41084,41719,64577,64,0,128,0,1552045183.716361,30760,41360,41719,64845,1552045183.853225,183,185,183,178,32,32,32,32,1552045183.665148,138,166,158,182,1552045226.4426455,1004,334,225,293,766,1038,359,486,0,0,0,0,0,0,0,0,1552045226.3772316,1022,333,224,304,763,1023,361,482,1552045226.466147,343,1552045226.0,343,1552045226.3858445,100,0,5948,Corridor          
1552045226.5890036,1552045183.901731,30760,41084,41719,64577,64,0,128,0,1552045183.716361,30760,41360,41719,64845,1552045184.081403,172,178,177,181,32,32,32,32,1552045183.853225,183,185,183,178,1552045226.5626884,986,345,230,300,782,1058,356,475,0,0,0,0,0,0,0,0,1552045226.5064745,999,336,225,299,770,1035,360,480,1552045226.5688162,341,1552045226.0,342,1552045226.4866562,100,0,2914,Corridor          
1552045226.6905375,1552045184.109436,30760,40702,41719,64005,64,0,64,0,1552045183.901731,30760,41084,41719,64577,1552045184.081403,172,178,177,181,32,32,32,32,1552045183.853225,183,185,183,178,1552045226.623842,983,352,228,294,787,1036,359,468,0,0,0,0,0,0,0,0,1552045226.5626884,986,345,230,300,782,1058,356,475,1552045226.6721604,340,1552045226.0,341,1552045226.5875273,100,0,2975,Corridor          
1552045226.7901502,1552045184.109436,30760,40702,41719,64005,64,0,64,0,1552045183.901731,30760,41084,41719,64577,1552045184.081403,172,178,177,181,32,32,32,32,1552045183.853225,183,185,183,178,1552045226.7377532,962,373,233,286,816,1038,355,450,0,0,0,0,0,0,0,0,1552045226.684478,975,358,232,291,802,1046,358,461,1552045226.7754164,340,1552045226.0,340,1552045226.6869183,100,0,2592,Corridor          
1552045226.889672,1552045184.327889,29742,39983,41719,64005,0,0,64,64,1552045184.109436,30760,40702,41719,64005,1552045184.321408,187,180,180,182,32,32,32,32,1552045184.081403,172,178,177,181,1552045226.8627331,926,371,233,297,847,1071,353,446,0,0,0,0,0,0,0,0,1552045226.8046405,957,371,233,291,838,1045,354,448,1552045226.8809438,340,1552045226.0,340,1552045226.7868965,100,2,1655,Corridor          
1552045226.9870405,1552045184.327889,29742,39983,41719,64005,0,0,64,64,1552045184.109436,30760,40702,41719,64005,1552045184.506658,176,180,179,179,32,32,32,32,1552045184.321408,187,180,180,182,1552045226.9795725,904,375,236,298,881,1111,351,445,0,0,0,0,0,0,0,0,1552045226.9218128,920,371,236,295,866,1086,349,445,1552045226.9687455,340,1552045226.0,340,1552045226.8872192,100,3,2292,Corridor          
1552045227.0886388,1552045184.523662,29742,39017,64028,62211,64,0,0,0,1552045184.327889,29742,39983,41719,64005,1552045184.55765,176,180,179,179,32,32,32,32,1552045184.506658,176,180,179,179,1552045227.048089,876,373,238,302,895,1145,351,444,0,0,0,0,0,0,0,0,1552045226.9795725,904,375,236,298,881,1111,351,445,1552045227.0394778,340,1552045227.0,340,1552045226.9857671,100,4,2093,Turn-Around-      
1552045227.1868374,1552045184.523662,29742,39017,64028,62211,64,0,0,0,1552045184.327889,29742,39983,41719,64005,1552045184.70319,187,181,182,183,32,32,32,32,1552045184.55765,176,180,179,179,1552045227.1710832,852,387,240,303,927,1165,346,445,0,0,0,0,0,0,0,0,1552045227.1139607,871,378,242,300,909,1157,346,444,1552045227.158898,340,1552045227.0,340,1552045227.0870183,100,0,-220,Turn-Around-      
1552045227.2870526,1552045184.733193,29742,37931,62925,61071,64,0,0,0,1552045184.523662,29742,39017,64028,62211,1552045184.807267,186,181,181,183,32,32,32,32,1552045184.70319,187,181,182,183,1552045227.2374594,836,387,244,304,954,1154,344,479,0,0,0,0,0,0,0,0,1552045227.1710832,852,387,240,303,927,1165,346,445,1552045227.2513835,340,1552045227.0,340,1552045227.0870183,100,0,-220,Turn-Around-      
1552045227.386937,1552045184.733193,29742,37931,62925,61071,64,0,0,0,1552045184.523662,29742,39017,64028,62211,1552045184.912226,167,176,191,187,32,32,32,32,1552045184.858071,175,181,186,183,1552045227.3623254,803,390,241,302,987,695,344,1054,0,0,0,0,0,0,0,7,1552045227.2962303,816,382,245,303,956,988,343,586,1552045227.3547347,339,1552045227.0,340,1552045227.0870183,100,0,-220,Turn-Around-      
1552045227.486555,1552045184.922978,26724,36800,61770,59849,0,0,0,0,1552045184.733193,29742,37931,62925,61071,1552045185.00457,164,173,193,188,32,32,32,32,1552045184.962213,164,174,192,188,1552045227.4260855,782,408,246,293,986,657,342,1088,0,0,0,0,0,0,0,0,1552045227.3623254,803,390,241,302,987,695,344,1054,1552045227.4596543,334,1552045227.0,337,1552045227.0870183,100,0,-220,Turn-Around-      
1552045227.5872777,1552045184.922978,26724,36800,61770,59849,0,0,0,0,1552045184.733193,29742,37931,62925,61071,1552045185.098502,164,171,196,188,32,32,32,32,1552045185.054011,164,172,195,188,1552045227.5518732,775,545,258,276,797,1181,347,419,0,0,0,0,0,0,0,0,1552045227.4897017,775,455,247,284,942,1128,343,591,1552045227.5618756,327,1552045227.0,330,1552045227.0870183,100,0,-220,Turn-Around-      
1552045227.6879866,1552045185.133601,25711,35531,64982,58641,0,0,0,0,1552045184.922978,26724,36800,61770,59849,1552045185.185413,164,171,194,188,32,32,32,32,1552045185.144996,164,171,196,188,1552045227.6747847,776,743,283,272,571,1129,353,337,0,0,0,0,0,0,0,0,1552045227.612433,772,665,265,270,640,1153,349,363,1552045227.6659327,319,1552045227.0,323,1552045227.0870183,100,0,-220,Turn-Around-      
1552045227.7881992,1552045185.133601,25711,35531,64982,58641,0,0,0,0,1552045184.922978,26724,36800,61770,59849,1552045185.312736,164,171,197,189,32,32,32,32,1552045185.276493,164,171,197,189,1552045227.7362967,915,740,312,273,513,1126,359,322,0,0,0,0,0,0,0,0,1552045227.6747847,776,743,283,272,571,1129,353,337,1552045227.7696245,307,1552045227.0,313,1552045227.0870183,100,0,-220,Turn-Around-      
1552045227.8881311,1552045185.329481,25711,34231,64120,57227,64,0,0,0,1552045185.133601,25711,35531,64982,58641,1552045185.403197,164,171,196,189,32,32,32,32,1552045185.357,164,171,196,189,1552045227.878795,1252,670,378,287,437,1103,381,290,2,0,0,0,0,0,0,0,1552045227.806589,1371,703,330,278,470,1109,369,310,1552045227.8752978,295,1552045227.0,302,1552045227.0870183,100,0,-220,Turn-Around-      
1552045227.9884026,1552045185.329481,25711,34231,64120,57227,64,0,0,0,1552045185.133601,25711,35531,64982,58641,1552045185.473926,164,171,196,189,32,32,32,32,1552045185.445538,164,171,196,189,1552045227.94409,1118,656,417,299,418,1110,394,275,0,0,0,0,0,0,0,0,1552045227.878795,1252,670,378,287,437,1103,381,290,1552045227.9787753,280,1552045227.0,288,1552045227.0870183,100,0,-220,Turn-Around-      
1552045228.087046,1552045185.538996,24020,32799,63217,55651,0,0,0,0,1552045185.329481,25711,34231,64120,57227,1552045185.604134,164,171,196,189,32,32,32,32,1552045185.56255,164,171,196,189,1552045228.0712826,950,636,588,338,396,1140,440,253,0,0,0,0,0,0,0,0,1552045228.010695,1016,645,473,325,401,1127,415,268,1552045228.0825074,266,1552045228.0,272,1552045227.0870183,100,0,-220,Turn-Around-      
